t,mon,year
62,8,1973
59,8,1973
54,8,1973
56,8,1973
54,8,1973
54,8,1973
56,8,1973
61,8,1973
55,8,1973
55,8,1973
59,8,1973
63,8,1973
64,8,1973
65,8,1973
65,8,1973
57,8,1973
55,8,1973
61,8,1973
58,8,1973
57,8,1973
59,8,1973
62,8,1973
62,8,1973
61,8,1973
63,8,1973
62,8,1973
56,8,1973
58,8,1973
55,8,1973
62,8,1973
60,9,1973
56,9,1973
63,9,1973
64,9,1973
61,9,1973
65,9,1973
64,9,1973
61,9,1973
60,9,1973
58,9,1973
58,9,1973
58,9,1973
56,9,1973
59,9,1973
59,9,1973
63,9,1973
57,9,1973
54,9,1973
54,9,1973
53,9,1973
50,9,1973
49,9,1973
51,9,1973
49,9,1973
50,9,1973
54,9,1973
51,9,1973
49,9,1973
49,9,1973
48,9,1973
51,10,1973
57,10,1973
56,10,1973
55,10,1973
55,10,1973
57,10,1973
55,10,1973
56,10,1973
54,10,1973
49,10,1973
46,10,1973
48,10,1973
49,10,1973
46,10,1973
47,10,1973
44,10,1973
39,10,1973
44,10,1973
51,10,1973
51,10,1973
47,10,1973
50,10,1973
47,10,1973
53,10,1973
53,10,1973
52,10,1973
53,10,1973
47,10,1973
42,10,1973
46,10,1973
50,10,1973
52,11,1973
53,11,1973
54,11,1973
52,11,1973
38,11,1973
39,11,1973
48,11,1973
55,11,1973
53,11,1973
45,11,1973
40,11,1973
50,11,1973
46,11,1973
44,11,1973
44,11,1973
40,11,1973
39,11,1973
51,11,1973
42,11,1973
38,11,1973
44,11,1973
46,11,1973
49,11,1973
49,11,1973
38,11,1973
33,11,1973
35,11,1973
44,11,1973
40,11,1973
39,11,1973
39,12,1973
35,12,1973
46,12,1973
50,12,1973
47,12,1973
44,12,1973
46,12,1973
38,12,1973
40,12,1973
48,12,1973
40,12,1973
44,12,1973
47,12,1973
40,12,1973
40,12,1973
42,12,1973
37,12,1973
40,12,1973
46,12,1973
47,12,1973
44,12,1973
40,12,1973
38,12,1973
43,12,1973
40,12,1973
51,12,1973
50,12,1973
46,12,1973
50,12,1973
38,12,1973
38,12,1973
44,1,1974
44,1,1974
44,1,1974
49,1,1974
48,1,1974
44,1,1974
44,1,1974
43,1,1974
39,1,1974
45,1,1974
44,1,1974
46,1,1974
43,1,1974
47,1,1974
46,1,1974
41,1,1974
46,1,1974
51,1,1974
48,1,1974
44,1,1974
46,1,1974
48,1,1974
46,1,1974
42,1,1974
42,1,1974
40,1,1974
47,1,1974
42,1,1974
47,2,1974
43,2,1974
40,2,1974
42,2,1974
36,2,1974
36,2,1974
37,2,1974
47,2,1974
47,2,1974
49,2,1974
44,2,1974
40,2,1974
36,2,1974
41,2,1974
46,2,1974
45,2,1974
41,2,1974
40,2,1974
42,2,1974
42,2,1974
48,2,1974
43,2,1974
43,2,1974
45,2,1974
47,2,1974
46,2,1974
43,2,1974
40,2,1974
38,3,1974
35,3,1974
37,3,1974
37,3,1974
38,3,1974
44,3,1974
49,3,1974
43,3,1974
39,3,1974
40,3,1974
41,3,1974
40,3,1974
41,3,1974
41,3,1974
47,3,1974
48,3,1974
44,3,1974
43,3,1974
44,3,1974
44,3,1974
45,3,1974
46,3,1974
45,3,1974
43,3,1974
44,3,1974
46,3,1974
45,3,1974
45,3,1974
45,3,1974
47,3,1974
47,3,1974
47,4,1974
48,4,1974
48,4,1974
50,4,1974
