"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-03-31","0.42",",,s",,,"51",",,s","55",",,s","46",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-01","0.61",",,s",,,"49",",,s","54",",,s","46",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-02","0.95",",,s",,,"47",",,s","49",",,s","44",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-03","0.00","T,,s",,,"49",",,s","57",",,s","43",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-04","0.00",",,s",,,"52",",,s","65",",,s","41",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-05","0.65",",,s",,,"50",",,s","57",",,s","46",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-06","0.28",",,s",,,"52",",,s","58",",,s","47",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-07","0.00",",,s",,,"52",",,s","62",",,s","42",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-08","0.00",",,s",,,"55",",,s","65",",,s","45",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-09","0.00",",,s",,,"55",",,s","62",",,s","47",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-10","0.30",",,s",,,"53",",,s","55",",,s","50",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-11","0.22",",,s",,,"53",",,s","61",",,s","45",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-12","0.00",",,s",,,"50",",,s","60",",,s","40",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-13","0.00",",,s",,,"54",",,s","66",",,s","48",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-14","0.32",",,s",,,"52",",,s","54",",,s","49",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-15","0.39",",,s",,,"54",",,s","60",",,s","51",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-16","0.33",",,s",,,"53",",,s","56",",,s","49",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-17","0.00",",,s",,,"52",",,s","57",",,s","48",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-18","0.33",",,s",,,"50",",,s","53",",,s","47",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-19","0.13",",,s",,,"51",",,s","55",",,s","48",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-20","0.10",",,s",,,"52",",,s","56",",,s","48",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-21","0.00","T,,s",,,"56",",,s","67",",,s","51",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-22","0.17",",,s",,,"54",",,s","56",",,s","51",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-23","0.00",",,s",,,"55",",,s","63",",,s","49",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-24","0.00",",,s",,,"54",",,s","62",",,s","48",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-25","1.58",",,s",,,"56",",,s","59",",,s","49",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-26","0.40",",,s",,,"61",",,s","67",",,s","54",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-27","0.00","T,,s",,,"63",",,s","69",",,s","58",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-28","0.17",",,s",,,"58",",,s","62",",,s","56",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-29","0.07",",,s",,,"60",",,s","65",",,s","55",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-04-30","0.10",",,s",,,"60",",,s","69",",,s","53",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-01","0.06",",,s",,,"58",",,s","65",",,s","51",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-02","0.00",",,s",,,"58",",,s","69",",,s","47",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-03","0.00",",,s",,,"62",",,s","73",",,s","53",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-04","0.00","T,,s",,,"69",",,s","79",",,s","62",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-05","0.19",",,s",,,"61",",,s","67",",,s","56",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-06","0.13",",,s",,,"59",",,s","63",",,s","56",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1951-05-07","0.90",",,s",,,"60",",,s","62",",,s","57",",,s"
